trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-61.79076808916362,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-84.87531283472529,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-40.027825936647936,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-135.5805860947997,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-48.2225060298646,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,2,-146.8484242935251,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-55.568645027914464,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-19.525214844664088,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-39.2236371821538,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-37.36599650770341,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-47.10376969218707,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-27.923057036529634,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-73.83906543966721,"{0: 27, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,7,-48.80425320034041,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,19.15419910312238,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-41.92001630705873,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,19,11.338700790078905,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,12,17.637891947866866,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,1,-18.877247860120157,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,15,11.439175723613294,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,24.552836404697853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,8.707398887928408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,7.18482926379005,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,17,20.964933616245016,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,29.95608237814559,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,3,-3.241097847789578,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,14.492342452962031,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,10.563604910780093,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,6,25.38411672905565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,15,7.770652168333329,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
