trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801}",20,6,-123.52975713280372,"{0: 5, 1: 3, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.970299}",20,12,-17.879600876283284,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-99.20772281880916,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-168.32754934149875,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.941480149401}",30,0,-198.44865895459554,"{0: 10, 1: 9, 2: 7, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,7,-46.53471291059175,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-138.6925757683022,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-124.55097106886431,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-178.28954163342445,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-122.6826517540869,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-145.90771506199454,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-71.69133368730593,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-148.03875108257438,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-38.94323358421973,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,9,-87.42018990114694,"{0: 4, 1: 3, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,3,-8.466089456608476,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-81.92592940521972,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-52.68734824901252,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-70.8310596259352,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-38.160311814424674,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-23.673723150994885,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-116.04926798843732,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-115.97987371827537,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,11,-54.162139430286985,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-83.87640423153238,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,8,-46.33794044673908,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-87.67581836402758,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-87.08941006860158,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-119.9140623279407,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-154.89441445828126,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7249803359578535}",35,9,-42.588747907984526,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-121.12096522394177,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,13,-6.725381202897484,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-163.12213151427943,"{0: 6, 1: 3, 2: 8, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,0,-165.15202465792103,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6894490858690778}",20,0,-22.369878589789995,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.682554595010387}",35,0,-91.51646838779048,"{0: 24, 1: 0, 2: 10, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-88.55622022977226,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
