trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.97247425340066,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.51702452065391,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-230.0071479979917,"{0: 11, 1: 5, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.40779179179808,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.9429451658403,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.1689333429378,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,10,-3.158043265188524,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,4,-48.42922191307044,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.7547827192791,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.01034856935932,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,1,-104.10025126782489,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.10745045164258,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.4072170701113,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.35018435184203,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.71263010561267,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.30637968611441,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.07078208879544,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.0056833990464,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.13887861417246,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.34078584913672,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,15,-0.2943712577692119,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.30396482363331,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.3129146143925,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.37935205113347,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.04047848709476,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.41195454748146,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.69817319464443,"{0: 9, 1: 3, 2: 9, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.16077887321464,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.6890989394549,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-253.22696308085983,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
